CustomerID,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,CLTV
3668-QPYBK,33.964131,-118.272783,1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,108.15,1,3239
9237-HQITU,34.059281,-118.30742,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,151.65,1,2701
9305-CDSKC,34.048013,-118.293953,0,0,0,1,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,820.5,1,5372
7892-POOKP,34.062125,-118.315709,0,0,1,1,28,1,2,1,0,0,2,2,2,2,0,1,2,104.8,3046.05,1,5003
0280-XJGEX,34.039224,-118.266293,1,0,0,1,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7,5036.3,1,5340
4190-MFLUW,34.066367,-118.309868,0,0,1,0,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,528.35,1,5925
8779-QRDMV,34.02381,-118.156582,1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.65,39.65,1,5433
1066-JKSGK,34.066303,-118.435479,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,20.15,1,4832
6467-CHFZW,34.099869,-118.326843,1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35,4749.15,1,5789
8665-UTDHZ,34.089953,-118.294824,1,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,30.2,1,2915
8773-HHUOZ,34.078821,-118.177576,0,0,0,0,17,1,0,0,0,0,0,0,2,2,0,1,3,64.7,1093.1,1,3022
6047-YHPVI,34.110845,-118.259595,1,0,0,1,5,1,0,1,0,0,0,0,0,0,0,1,2,69.7,316.9,1,2454
5380-WJKOV,34.137412,-118.207607,1,0,0,1,34,1,2,1,0,2,2,0,2,2,0,1,2,106.35,3549.25,1,2941
8168-UQWWF,34.11572,-118.192754,0,0,0,1,11,1,2,1,0,0,2,0,2,2,0,1,0,97.85,1105.4,1,5674
7760-OYPDY,33.987945,-118.370442,0,0,0,1,2,1,0,1,0,0,0,0,2,0,0,1,2,80.65,144.15,1,5586
9420-LOJKX,33.92128,-118.274186,0,0,0,1,15,1,0,1,2,2,0,0,2,2,0,1,1,99.1,1426.4,1,2966
7495-OOKFY,34.044271,-118.185237,0,1,1,1,8,1,2,1,0,2,0,0,0,0,0,1,1,80.65,633.3,1,5302
1658-BYGOY,34.108833,-118.229715,1,1,0,1,18,1,2,1,0,0,0,0,2,2,0,1,2,95.45,1752.55,1,3179
